,algorithm,machine,psize,model,parameters,crossValid,-2l,AIC,CAIC,BIC,HQIC,infTime.mean
1,dijkstra,halley,500K,Weibull,1.19676013702854 0.00486451001480119,-1767.8639844068698,-8844.91451072834,-8840.91451072834,-8840.90247462001,-8837.183931792672,-8831.09900017037,0.076500000001397
2,dijkstra,halley,500K,Normal,0.00452733306814657 0.00454834751830554,-1587.9816954995001,-7949.10552314288,-7945.10552314288,-7945.09348703455,-7941.374944207209,-7935.29001258491,0.0279999999992368
3,dijkstra,halley,500K,T.Normal,-0.30523094006163 0.0380257061883883,-1806.0318059307397,-9030.13928871263,-9026.13928871263,-9026.127252604309,-9022.40870977697,-9016.32377815467,0.239111111111318
4,dijkstra,halley,500K,Lognormal,-5.76143033277216 0.855859318824267,-1798.12650902168,-8996.283890045821,-8992.283890045821,-8992.2718539375,-8988.55331111016,-8982.468379487858,0.0162222222231018
5,dijkstra,halley,500K,OLL-GG,0.381438674109999 0.113102970899669 0.883749779938991 13.8014879764364,-1789.48842423186,-8950.95641059101,-8942.95641059101,-8942.916209585981,-8935.49525271968,-8923.32538947508,1.16350000000148
6,dijkstra,halley,500K,Kw-CWG,1 0.246652766355856 254.033086616933 8.68556029624823 43.6501984853028,-1784.18600034103,-8924.64316870781,-8914.64316870781,-8914.58280653478,-8905.31672136865,-8890.1043923129,30.30046782180623
7,dijkstra,halley,500K,G.Gamma,0.00257299060619719 0.89409036440367 1.6370249440981,-1779.6320339082602,-8898.16016954131,-8892.16016954131,-8892.13607315577,-8886.56430113782,-8877.43690370437,0.122925925925503
8,dijkstra,halley,500K,E.Weibull,0.74453831344877 0.00209248449387463 2.95663840295846,-1786.59988137543,-8932.99940687716,-8926.99940687716,-8926.97531049162,-8921.40353847367,-8912.27614104022,0.221629629631126
0,dijkstra,halley,10M,Gamma,6.01925964587744 0.0148701118473704,-780.3384164591181,-3906.7270986039202,-3902.7270986039202,-3902.71506249559,-3898.99651966825,-3892.91158804595,0.10380000000101701
1,dijkstra,halley,10M,Weibull,2.43141573418133 0.1007924744631,-753.779942383095,-3776.87507595615,-3772.87507595615,-3772.8630398478294,-3769.1444970204902,-3763.0595653981895,0.061368421050964996
2,dijkstra,halley,10M,Normal,0.0893146510727444 0.038305176135216,-736.34109927327,-3686.49323424008,-3682.49323424008,-3682.4811981317603,-3678.76265530442,-3672.6777236821204,0.0166666666676368
3,dijkstra,halley,10M,T.Normal,0.0878790778951694 0.0399462019351112,-739.442319060003,-3709.7829812793702,-3705.7829812793702,-3705.7709451710402,-3702.0524023437,-3695.9674707214003,0.0556666666654766
4,dijkstra,halley,10M,Lognormal,-2.50064732044102 0.421073209712712,-776.7265645830271,-3893.31458538507,-3889.31458538507,-3889.30254927674,-3885.5840064494,-3879.4990748271002,0.0162222222214849
5,dijkstra,halley,10M,OLL-GG,0.0937544732276807 0.109527206315355 1.2985455090335 23.6369764360764,-783.9191167488541,-3920.9916889091496,-3912.9916889091496,-3912.9514879041203,-3905.5305310378203,-3893.3606677932203,1.53549999999632
6,dijkstra,halley,10M,Kw-CWG,0.0414987283833789 1.10219682004901 71.8892388179559 3.50373958730449 0.276665116185051,-520.596761908724,-3980.4170806730895,-3970.4170806730895,-3970.3567185000607,-3961.0906333339294,-3945.8783042781797,39.170709325850055
7,dijkstra,halley,10M,G.Gamma,0.0199267539610521 1.08436824731287 5.13753563581025,-779.6068068247749,-3902.63280574312,-3896.63280574312,-3896.6087093575798,-3891.0369373396297,-3881.90953990618,0.16622222222213198
8,dijkstra,halley,10M,E.Weibull,1.06536237180322 0.0345123460771529 8.39286997884062,-778.838054349767,-3929.9014831631102,-3923.9014831631102,-3923.8773867775603,-3918.30561475961,-3909.1782173261604,0.303740740740775
0,dijkstra,andromeda,500K,Gamma,20 0.00059381522237646,-1796.4451375538501,-8982.22568776925,-8978.22568776925,-8978.21365166092,-8974.495108833578,-8968.410177211279,0.0841333333315561
1,dijkstra,andromeda,500K,Weibull,5.12668383003143 0.0128627189583308,-1819.13350997677,-9095.87772703972,-9091.87772703972,-9091.8656909314,-9088.147148104059,-9082.06221648176,0.0754000000015367
2,dijkstra,andromeda,500K,Normal,0.0118763044475292 0.00246733788011292,-1833.40676467651,-9172.35391538468,-9168.35391538468,-9168.34187927636,-9164.623336449009,-9158.53840482672,0.0248888888874919
3,dijkstra,andromeda,500K,T.Normal,0.0118763044475292 0.00246733788011292,-1834.44222522332,-9172.3553991628,-9168.3553991628,-9168.34336305448,-9164.624820227142,-9158.53988860484,0.13555555555891902
