,algorithm,machine,psize,model,parameters,crossValid,-2l,AIC,CAIC,BIC,HQIC,infTime.mean
3,mandelbrot,halley,30000,T.Normal,0.013697415232939 0.00350201518858298,-1692.7737226277698,-8472.048154198821,-8468.048154198821,-8468.0361180905,-8464.31757526316,-8458.23264364086,0.123999999999392
4,mandelbrot,halley,30000,Lognormal,-4.37162696017166 0.539037530141288,-1418.2400455719699,-7141.319113046,-7137.319113046,-7137.307076937671,-7133.588534110329,-7127.50360248803,0.0164444444413271
5,mandelbrot,halley,30000,OLL-GG,0.0273887278017673 4.59121419989573 0.251884009796593 3.53047547214468,-1704.1216873989902,-8524.13512223716,-8516.13512223716,-8516.094921232141,-8508.67396436583,-8496.504101121229,1.4793749999989798
6,mandelbrot,halley,30000,Kw-CWG,0.0131208855730143 0.936623407849665 205.965993526142 2.12961098976668 39.1139303219198,-1708.16515347508,-8574.94434186752,-8564.94434186752,-8564.88397969448,-8555.61789452836,-8540.40556547261,25.324990080813
7,mandelbrot,halley,30000,G.Gamma,0.0164208160696823 5.19177268404989 0.648651101772878,-1649.66390443189,-8340.27467103387,-8334.27467103387,-8334.25057464832,-8328.67880263037,-8319.55140519692,0.129481481479295
8,mandelbrot,halley,30000,E.Weibull,4.91334400536944 0.0156459058041291 0.722391696933953,-1659.3623320665802,-8336.30669840908,-8330.30669840908,-8330.28260202354,-8324.71083000558,-8315.58343257213,0.24629629629608102
0,sqldbHD,andromeda,150,Gamma,5.52991646935599 0.167298875344709,171.481141853605,845.898162261272,849.898162261272,849.910198369597,853.6287411969361,859.713672819236,0.0550666666676989
1,sqldbHD,andromeda,150,Weibull,2.59590854093195 1.03313996244561,180.17871945717,807.038299441366,811.038299441366,811.050335549691,814.76887837703,820.85380999933,0.0316666666649759
2,sqldbHD,andromeda,150,Normal,0.925128669000264 0.358675453800522,160.688819057359,787.199270933354,791.199270933354,791.2113070416789,794.929849869018,801.0147814913181,0.00466666666680895
3,sqldbHD,andromeda,150,T.Normal,0.918731465936762 0.366834089618465,157.42180041089898,776.1996438814309,780.1996438814309,780.211679989756,783.9302228170959,790.015154439395,0.0198888888876859
4,sqldbHD,andromeda,150,Lognormal,-0.170951337043819 0.489249778955738,215.228362786389,1066.20784766368,1070.20784766368,1070.219883772,1073.9384265993401,1080.02335822164,0.0066666666696417205
5,sqldbHD,andromeda,150,OLL-GG,2.38416654213337 2.44688415806924 0.329838001010188 2.84571085175938,418.029734380805,742.830986866847,750.830986866847,750.8711878718719,758.2921447381759,770.4620079827761,0.7470624999969
6,sqldbHD,andromeda,150,Kw-CWG,0.0110581474357035 0.868534471847035 5.79820621576725 1.19405510259529 1.48523188849349,141.37606731043698,701.7273005596021,711.7273005596021,711.7876627326401,721.0537478987629,736.266076954513,0.9972616972490869
7,sqldbHD,andromeda,150,G.Gamma,0.778858897458491 2.02838791779204 1.64042239601794,197.715394400737,785.315117500334,791.315117500334,791.339213885876,796.91098590383,806.0383833372799,0.0397777777769887
8,sqldbHD,andromeda,150,E.Weibull,2.15230950776131 0.889546316223655 1.5314152715396,192.07207490349097,784.862948187439,790.862948187439,790.8870445729809,796.458816590935,805.5862140243851,0.058703703701785
0,sqldbSSD,halley,100,Gamma,5 0.00516551504081386,-1247.9160789823,-6241.20106972792,-6237.20106972792,-6237.189033619599,-6233.4704907922605,-6227.385559169959,0.0797142857159737
1,sqldbSSD,halley,100,Weibull,2.37078889103894 0.0289754876267924,-1237.6964025319,-6216.858811555539,-6212.858811555539,-6212.84677544721,-6209.128232619879,-6203.04330099757,0.0403333333362955
2,sqldbSSD,halley,100,Normal,0.0258275752040693 0.0110057845186765,-1232.78322184304,-6181.76830067117,-6177.76830067117,-6177.75626456285,-6174.03772173551,-6167.9527901132105,0.010999999998603
3,sqldbSSD,halley,100,T.Normal,0.0254484512381985 0.0114625322622279,-1238.2622062104901,-6203.96402421949,-6199.96402421949,-6199.95198811116,-6196.23344528382,-6190.14851366152,0.0540000000004915
4,sqldbSSD,halley,100,Lognormal,-3.75752448856729 0.503079767044265,-1209.11281004691,-6051.18722418209,-6047.18722418209,-6047.17518807376,-6043.4566452464205,-6037.37171362412,0.00855555555446901
5,sqldbSSD,halley,100,OLL-GG,0.0972973927321185 2.00766770562776 0.285588332460776 3.79445134385417,-1258.74750112411,-6336.469597895059,-6328.469597895059,-6328.429396890029,-6321.008440023729,-6308.83857677913,0.9473125000004069
6,sqldbSSD,halley,100,Kw-CWG,0.113446582024521 1.35961344132818 96.5543730663851 1.41377729982934 0.631039124469329,-996.709960309824,-6339.11849351574,-6329.11849351574,-6329.0581313427,-6319.79204617658,-6304.57971712083,0.8578505660782657
7,sqldbSSD,halley,100,G.Gamma,0.0183282497880508 1.68848073048791 1.96725975052492,-1250.92489644589,-6262.43729182326,-6256.43729182326,-6256.41319543772,-6250.841423419761,-6241.71402598631,0.0770370370360238
8,sqldbSSD,halley,100,E.Weibull,1.76363721050879 0.0218922320774346 2.00385021393104,-1249.22861322585,-6266.985048693299,-6260.985048693299,-6260.960952307751,-6255.3891802898,-6246.26178285635,0.13151851851930801
0,dijkstra,lasdpc,1M,Gamma,2 0.00287506735399461,-1723.96218292368,-8622.94894759636,-8618.94894759636,-8618.936911488041,-8615.218368660691,-8609.1334370384,0.09176923076917698
1,dijkstra,lasdpc,1M,Weibull,1.58141838009775 0.00644213822234088,-1721.1236538995001,-8606.85313531066,-8602.85313531066,-8602.84109920234,-8599.122556375,-8593.0376247527,0.129181818180686
2,dijkstra,lasdpc,1M,Normal,0.00575013470798922 0.00382483306387705,-1657.8647350116598,-8295.60384576441,-8291.60384576441,-8291.59180965608,-8287.87326682874,-8281.78833520644,0.0288888888899237
3,dijkstra,lasdpc,1M,T.Normal,0.00355239594238702 0.00521927979169869,-1705.77791319108,-8529.284883243441,-8525.284883243441,-8525.27284713511,-8521.55430430777,-8515.46937268547,0.0948888888896262
4,dijkstra,lasdpc,1M,Lognormal,-5.39188346859741 0.722759282140553,-1717.66288695819,-8595.247237876121,-8591.247237876121,-8591.235201767791,-8587.51665894045,-8581.43172731815,0.013666666665813001
5,dijkstra,lasdpc,1M,OLL-GG,0.00401309873170311 1.3797040712736 1.76054411846327 0.784596975755478,-1725.45759134059,-8627.287956702941,-8619.287956702941,-8619.247755697908,-8611.82679883161,-8599.656935587009,1.13093750000189
6,dijkstra,lasdpc,1M,Kw-CWG,1 0.259930473795791 367.384779955968 11.8278508114201 56.6683716925691,-1725.09176255177,-8630.01394017153,-8620.01394017153,-8619.95357799849,-8610.68749283237,-8595.47516377662,27.955542047332507
7,dijkstra,lasdpc,1M,G.Gamma,0.00480823919426647 1.29208390742066 1.41052893934931,-1723.1886813590802,-8619.92066714059,-8613.92066714059,-8613.89657075505,-8608.32479873709,-8599.19740130364,0.12811111111120602
8,dijkstra,lasdpc,1M,E.Weibull,1.1419905957339 0.00441682892712632 1.85507780759038,-1725.48507197706,-8629.26954023833,-8623.26954023833,-8623.245443852791,-8617.67367183483,-8608.54627440138,0.24285185185295605
0,sqldbHD,halley,300,Gamma,8.98060772961728 0.182030204354662,310.846573745287,1549.4370438928,1553.4370438928,1553.4490800011301,1557.16762282846,1563.2525544507598,0.0567999999999301
1,sqldbHD,halley,300,Weibull,3.46823642309828 1.81327978556434,300.033814813286,1494.52748176858,1498.52748176858,1498.5395178769,1502.25806070424,1508.3429923265398,0.0199047619056988
2,sqldbHD,halley,300,Normal,1.63476039429165 0.50523173712811,296.23387947812597,1472.39870049156,1476.39870049156,1476.4107365998902,1480.1292794272301,1486.21421104953,0.00422222222227396
3,sqldbHD,halley,300,T.Normal,1.63363292118301 0.507053196950966,295.200925978901,1471.1552924777,1475.1552924777,1475.16732858602,1478.88587141336,1484.97080303566,0.0308888888862889
4,sqldbHD,halley,300,Lognormal,0.434791029316634 0.373447176220796,354.124164755288,1737.49868892667,1741.49868892667,1741.510725035,1745.22926786234,1751.3141994846399,0.00566666666580002
5,sqldbHD,halley,300,OLL-GG,4.08913470737459 6.01042525951916 0.135519535591515 3.27876722411917,295.322941424433,1468.7082865722302,1476.7082865722302,1476.74848757725,1484.1694444435598,1496.33930768816,1.24143749999712
6,sqldbHD,halley,300,Kw-CWG,0.0178824582327931 0.844686140433345 3.31742983672423 1.90951692632799 2.02408593377042,293.56893680735,1463.7499998549401,1473.7499998549401,1473.81036202798,1483.0764471941,1498.28877624985,0.8652099186259763
7,sqldbHD,halley,300,G.Gamma,1.48220498006788 2.67660848006915 1.58195413983107,300.26573756493997,1485.51331932407,1491.51331932407,1491.53741570961,1497.1091877275699,1506.23658516102,0.0380740740732074
8,sqldbHD,halley,300,E.Weibull,2.81068796347455 1.61816054359084 1.50652682581448,301.323251727583,1484.4976412697101,1490.4976412697101,1490.52173765525,1496.0935096732,1505.22090710665,0.0591111111107576
0,mandelbrot,andromeda,10000,Gamma,5 0.00142210535397853,-1777.19304742482,-8887.704269896129,-8883.704269896129,-8883.6922337878,-8879.97369096046,-8873.888759338159,0.0882666666642763
1,mandelbrot,andromeda,10000,Weibull,2.46519127153253 0.00800557463742305,-1768.0867702376502,-8841.8932028489,-8837.8932028489,-8837.88116674058,-8834.16262391324,-8828.07769229094,0.0686000000030617
2,mandelbrot,andromeda,10000,Normal,0.00711052676989266 0.00298826575913298,-1757.0091263967902,-8789.247080631541,-8785.247080631541,-8785.23504452321,-8781.51650169587,-8775.43157007357,0.0295555555559177
3,mandelbrot,andromeda,10000,T.Normal,0.00704752125204014 0.00315647615430892,-1760.7258182010899,-8808.69241090714,-8804.69241090714,-8804.68037479881,-8800.96183197147,-8794.87690034917,0.14033333333403197
4,mandelbrot,andromeda,10000,Lognormal,-5.03904458586726 0.463048475577526,-1753.50787122776,-8780.06158968779,-8776.06158968779,-8776.04955357947,-8772.331010752121,-8766.246079129829,0.0196666666694606
5,mandelbrot,andromeda,10000,OLL-GG,0.033058725655253 2.26786819148917 0.21658912230947 4.29601241544221,-1786.0492172346499,-8935.36424989302,-8927.36424989302,-8927.324048887991,-8919.90309202169,-8907.733228777091,1.26237499999752
6,mandelbrot,andromeda,10000,Kw-CWG,1 0.772362142926301 148.376649215757 5.78322853810871 9.31666533439007,-1781.1770099814498,-8904.76238087759,-8894.76238087759,-8894.70201870455,-8885.43593353843,-8870.223604482679,28.494788190644478
7,mandelbrot,andromeda,10000,G.Gamma,0.00477779778603995 1.67061299272392 2.20258174077622,-1778.1439324843,-8890.71966242149,-8884.71966242149,-8884.695566035949,-8879.12379401799,-8869.996396584542,0.131333333332872
8,mandelbrot,andromeda,10000,E.Weibull,1.67838641657573 0.00561106828033664 2.39664863082344,-1780.22333832174,-8901.55176703056,-8895.55176703056,-8895.52767064502,-8889.95589862707,-8880.82850119362,0.212740740739887
0,dijkstra,andromeda,10M,Gamma,20.0000004517614 0.0102181285372131,-719.980724654675,-3601.97523351377,-3597.97523351377,-3597.96319740545,-3594.2446545781104,-3588.15972295581,0.10746666666624799
1,dijkstra,andromeda,10M,Weibull,4.50569653238975 0.218433122904284,-401.420362059561,-3452.94597521026,-3448.94597521026,-3448.93393910193,-3445.2153962746,-3439.1304646523,0.0700000000014413
2,dijkstra,andromeda,10M,Normal,0.204361966611742 0.0350670615061009,-769.302384182202,-3863.1360999650396,-3859.1360999650396,-3859.1240638567206,-3855.40552102938,-3849.3205894070793,0.020111111109145
3,dijkstra,andromeda,10M,T.Normal,0.204371851025025 0.0350696602763157,-764.8164119836309,-3863.1360111416707,-3859.1360111416707,-3859.12397503334,-3855.4054322059997,-3849.3205005837,0.0926666666685681
4,dijkstra,andromeda,10M,Lognormal,-1.60689599451122 0.247697248885123,-545.490844171513,-3167.0157724097603,-3163.0157724097603,-3163.00373630144,-3159.2851934740997,-3153.2002618518,0.0165555555528651
5,dijkstra,andromeda,10M,OLL-GG,1.13567454199581 1.43636935157357 0.314888184269204 14.5109977814916,-819.857094415713,-4139.0581428982505,-4131.0581428982505,-4131.01794189323,-4123.59698502692,-4111.427121782321,1.94949999999881
6,dijkstra,andromeda,10M,Kw-CWG,0.00354090346788838 1.61398023100414 16.9620991829209 2.62082987032033 0.712785149199389,-837.575934629493,-4191.10126931744,-4181.10126931744,-4181.04090714441,-4171.77482197828,-4156.56249292253,48.479873723935505
7,dijkstra,andromeda,10M,G.Gamma,0.0969316807368772 2.30291837817394 5.81984758335601,-740.713264987973,-3752.95312095771,-3746.95312095771,-3746.9290245721704,-3741.3572525542204,-3732.2298551207705,0.134851851851434
8,dijkstra,andromeda,10M,E.Weibull,2.99923050893168 0.161952433682908 4.62849385449801,-735.116898726408,-3778.49861339197,-3772.49861339197,-3772.4745170064293,-3766.9027449884798,-3757.77534755503,0.21344444444629398
0,mandelbrot,andromeda,5000,Gamma,5 0.00125771377077747,-1810.11695022553,-9050.842232828008,-9046.842232828008,-9046.830196719691,-9043.11165389235,-9037.02672227005,0.0921333333293054
1,mandelbrot,andromeda,5000,Weibull,2.52593568318552 0.00707889654012057,-1815.4845731585299,-9079.36584895924,-9075.36584895924,-9075.35381285092,-9071.635270023571,-9065.550338401279,0.0881000000008498
2,mandelbrot,andromeda,5000,Normal,0.00628856885388733 0.00263219609646398,-1808.4347404456303,-9042.99646070836,-9038.99646070836,-9038.984424600028,-9035.26588177269,-9029.18095015039,0.0354444444415599
3,mandelbrot,andromeda,5000,T.Normal,0.0062750558428889 0.00274249842057919,-1812.14036504703,-9061.86963392531,-9057.86963392531,-9057.85759781699,-9054.13905498965,-9048.05412336735,0.125111111108304
4,mandelbrot,andromeda,5000,Lognormal,-5.17220562070162 0.499578113683603,-1776.6915669910602,-8894.51854246165,-8890.51854246165,-8890.50650635332,-8886.78796352598,-8880.703031903678,0.016444444442943996
5,mandelbrot,andromeda,5000,OLL-GG,0.0113258917876821 2.29571110851782 0.51308479354521 1.89380428414746,-1817.8427773053197,-9094.24588595133,-9086.24588595133,-9086.20568494631,-9078.78472808001,-9066.614864835401,1.3051249999989498
6,mandelbrot,andromeda,5000,Kw-CWG,1 1.24420803142975 61.3982776337154 2.37378707498193 17.6437809461189,-1816.37059123588,-9087.61025032513,-9077.61025032513,-9077.54988815209,-9068.28380298596,-9053.07147393021,34.81848543170878
7,mandelbrot,andromeda,5000,G.Gamma,0.00549698258050631 1.97410098777032 1.52720661641982,-1817.0636076911499,-9085.61141020159,-9079.61141020159,-9079.58731381605,-9074.015541798091,-9064.88814436464,0.14311111110900698
8,mandelbrot,andromeda,5000,E.Weibull,2.03796964913613 0.00603255590903068 1.53908186200207,-1816.53829011929,-9085.69024152909,-9079.69024152909,-9079.66614514355,-9074.094373125601,-9064.966975692141,0.240444444443845
0,sqldbHD,lasdpc,100,Gamma,8.25054193686834 0.0137226639750589,-744.8812348412131,-3729.1746222811403,-3725.1746222811403,-3725.1625861728103,-3721.4440433454706,-3715.3591117231704,0.0659999999974389
1,sqldbHD,lasdpc,100,Weibull,4.03945059989805 0.123613988802541,-810.4144146535381,-4055.75325485315,-4051.75325485315,-4051.7412187448203,-4048.02267591748,-4041.9377442951795,0.0317999999992026
2,sqldbHD,lasdpc,100,Normal,0.112971114730378 0.0307057454362518,-824.974483992872,-4128.75199171665,-4124.75199171665,-4124.739955608329,-4121.02141278099,-4114.936481158689,0.0101111111111499
3,sqldbHD,lasdpc,100,T.Normal,0.112963250121995 0.030732884023006,-824.787965477108,-4128.98759526505,-4124.98759526505,-4124.97555915673,-4121.257016329389,-4115.17208470709,0.0494444444403699
4,sqldbHD,lasdpc,100,Lognormal,-2.24160082195781 0.436324909421231,-655.088701682266,-3304.06336024144,-3300.06336024144,-3300.05132413312,-3296.33278130578,-3290.24784968348,0.007888888885241209
5,sqldbHD,lasdpc,100,OLL-GG,0.196758140384335 6.22765552870817 0.227814485043462 2.20996165593959,-819.502896590544,-4113.64623090299,-4105.64623090299,-4105.606029897971,-4098.185073031671,-4086.0152097870705,0.9113750000014991
6,sqldbHD,lasdpc,100,Kw-CWG,0.00492850391471888 1.39379586185 28.2204313134322 0.87074576370077 0.994106098970613,-839.831019598618,-4204.4805294367,-4194.4805294367,-4194.42016726366,-4185.15408209754,-4169.9417530417895,1.0133689594160022
7,sqldbHD,lasdpc,100,G.Gamma,0.135893386104524 5.0066783212342 0.696368461629627,-810.163994690831,-4068.11128988698,-4062.11128988698,-4062.0871935014397,-4056.51542148349,-4047.38802405004,0.0745555555563273
8,sqldbHD,lasdpc,100,E.Weibull,4.7866090386908 0.131293141424595 0.737316410797854,-808.384655778022,-4066.4049581875606,-4060.4049581875606,-4060.38086180201,-4054.8090897840602,-4045.6816923506103,0.126851851853577
0,sqldbSSD,halley,1500,Gamma,2.19430475558101 0.160340656226714,-63.86525275895579,-376.886622875112,-372.886622875112,-372.87458676678705,-369.156043939448,-363.071112317148,0.0504615384651026
1,sqldbSSD,halley,1500,Weibull,1.12424071476842 0.373689827214796,-24.152293850232603,-127.064299556087,-123.064299556087,-123.05226344776199,-119.333720620423,-113.248788998123,0.0300714285736571
2,sqldbSSD,halley,1500,Normal,0.35183860439786 0.576840814912554,358.21804746106795,1737.4972254592801,1741.4972254592801,1741.5092615676099,1745.22780439495,1751.31273601725,0.00366666667105164
3,sqldbSSD,halley,1500,T.Normal,-20.277854764983 2.64493242104782,-13.7338173017392,-68.5704927171015,-64.5704927171015,-64.55845660877651,-60.839913781437204,-54.7549821591372,0.10533333333539
4,sqldbSSD,halley,1500,Lognormal,-1.2894160707123 0.485175417016981,-234.00354883390702,-1187.4469267428199,-1183.4469267428199,-1183.43489063449,-1179.71634780715,-1173.63141618485,0.00922222222207994
5,sqldbSSD,halley,1500,OLL-GG,16.2269418674523 0.132901968490033 0.881324736278139 30.6747492099419,-349.40061723242303,-1744.96681085519,-1736.96681085519,-1736.92660985017,-1729.5056529838598,-1717.33578973926,1.0164285714262
6,sqldbSSD,halley,1500,Kw-CWG,0.00668475290256404 0.398326064166563 607.557924456677 9.83684669225834 0.963722596388988,-299.480254371403,-1506.18457020289,-1496.18457020289,-1496.1242080298498,-1486.8581228637302,-1471.64579380798,1.1864525998607305
7,sqldbSSD,halley,1500,G.Gamma,0.00472817903653861 0.530061708161948 9.12910311317026,-160.02271542303,-810.054163444665,-804.054163444665,-804.030067059122,-798.4582950411681,-789.330897607718,0.104703703704419
8,sqldbSSD,halley,1500,E.Weibull,0.488071186024058 0.00883511302105611 147.703888172244,-273.333784266718,-1370.7444617357,-1364.7444617357,-1364.72036535016,-1359.1485933322099,-1350.02119589876,0.20162962963028502
0,sqldbHD,halley,100,Gamma,5.80296539526299 0.137031841681809,101.599760325755,501.207057973482,505.207057973482,505.21909408180704,508.93763690914597,515.022568531446,0.0524666666645013
1,sqldbHD,halley,100,Weibull,2.74953841733317 0.892121252323482,93.3748867546217,461.253708801269,465.253708801269,465.265744909594,468.98428773693297,475.069219359233,0.0218095238108487
2,sqldbHD,halley,100,Normal,0.795218958132287 0.306609704446801,96.0885292489514,473.514020246699,477.514020246699,477.526056355024,481.244599182363,487.329530804663,0.00433333333219505
3,sqldbHD,halley,100,T.Normal,0.789982284999516 0.313327914516641,93.3571306061437,462.991919682533,466.991919682533,467.003955790858,470.722498618197,476.80743024049696,0.0255555555534859
4,sqldbHD,halley,100,Lognormal,-0.317758227963612 0.468313685569602,138.53209565755,685.1243376652491,689.1243376652491,689.1363737735741,692.854916600914,698.939848223214,0.007222222220864041
5,sqldbHD,halley,100,OLL-GG,2.32625461287625 4.65572844011985 0.148237652628042 3.03722012962637,90.0353379155402,443.052809026061,451.052809026061,451.09301003108595,458.51396689738897,470.683830141989,1.17168749999564
6,sqldbHD,halley,100,Kw-CWG,0.0277385055679354 0.684692393504723 8.63997189035802 2.07382786911142 2.38125126462736,89.88033486951281,438.461862521435,448.461862521435,448.522224694474,457.78830986059603,473.00063891634596,0.8958970301673287
7,sqldbHD,halley,100,G.Gamma,0.727323616891704 2.2128394916299 1.46305789674386,94.075688496487,455.01655920083704,461.01655920083704,461.040655586379,466.61242760433294,475.73982503778296,0.0456296296303023
8,sqldbHD,halley,100,E.Weibull,2.30107284936606 0.792699929275481 1.40714729954497,92.43352768061341,454.34054378092696,460.34054378092696,460.364640166469,465.936412184423,475.063809617873,0.0679999999987626
0,sqldbSSD,halley,150,Gamma,7.95733466203671 0.00562926734706682,-1113.4363166405499,-5568.42432623537,-5564.42432623537,-5564.412290127039,-5560.693747299711,-5554.6088156774,0.0740666666669616
1,sqldbSSD,halley,150,Weibull,2.92310603821626 0.0495178522938391,-1099.03653181897,-5507.25541670712,-5503.25541670712,-5503.2433805988,-5499.52483777146,-5493.43990614916,0.0486842105241713
2,sqldbSSD,halley,150,Normal,0.0445179822305561 0.0150760745443495,-1108.1936200252999,-5551.48720604772,-5547.48720604772,-5547.47516993939,-5543.7566271120495,-5537.67169548975,0.0119999999975941
3,sqldbSSD,halley,150,T.Normal,0.0444342289278002 0.0152427275165287,-1108.78965387401,-5554.77429812015,-5550.77429812015,-5550.76226201183,-5547.043719184489,-5540.95878756219,0.0482222222215367
4,sqldbSSD,halley,150,Lognormal,-3.17440610657056 0.386829517460288,-1072.03586511447,-5410.48046022733,-5406.48046022733,-5406.468424119,-5402.74988129166,-5396.664949669361,0.0110000000002199
5,sqldbSSD,halley,150,OLL-GG,0.153864415555023 2.2375753936207 0.278208005919778 4.5611962679952,-1135.42468438331,-5689.30675827781,-5681.30675827781,-5681.266557272779,-5673.845600406479,-5661.67573716188,0.961625000000822
6,sqldbSSD,halley,150,Kw-CWG,0.0378067355525186 1.4629785013053 57.939813288673 1.17601852344782 0.726371782377228,-1135.3266565832198,-5690.69253867674,-5680.69253867674,-5680.6321765037,-5671.36609133758,-5656.15376228183,0.9558132683089507
7,sqldbSSD,halley,150,G.Gamma,0.0209867678785498 1.58664190617559 3.47863048839635,-1116.53788225319,-5589.23426627268,-5583.23426627268,-5583.21016988714,-5577.638397869179,-5568.51100043573,0.0776296296292761
8,sqldbSSD,halley,150,E.Weibull,1.96782383372462 0.0355530263379382 2.65956767172025,-1117.65526664508,-5595.14170880786,-5589.14170880786,-5589.11761242232,-5583.54584040437,-5574.41844297092,0.123444444447631
0,dijkstra,lasdpc,500K,Gamma,2 0.00282960613862385,-1723.6565035675599,-8618.715701532241,-8614.715701532241,-8614.70366542391,-8610.98512259657,-8604.90019097427,0.119249999997313
1,dijkstra,lasdpc,500K,Weibull,1.44461816093385 0.00634968793499201,-1709.64908184917,-8549.35902336067,-8545.35902336067,-8545.34698725235,-8541.62844442501,-8535.54351280271,0.0734285714258606
2,dijkstra,lasdpc,500K,Normal,0.0056592122772477 0.00441936546119104,-1600.8661685723998,-8006.641241620409,-8002.641241620409,-8002.62920551208,-7998.9106626847415,-7992.82573106244,0.027888888886082
3,dijkstra,lasdpc,500K,T.Normal,-0.00183064171656672 0.00788226733746287,-1683.8257676490698,-8423.58392928208,-8419.58392928208,-8419.57189317376,-8415.85335034642,-8409.76841872412,0.14822222222250697
4,dijkstra,lasdpc,500K,Lognormal,-5.42587834103605 0.720518176919034,-1731.93371759771,-8669.44626982227,-8665.44626982227,-8665.43423371395,-8661.715690886609,-8655.63075926431,0.0145555555564998
5,dijkstra,lasdpc,500K,OLL-GG,0.510189253522821 0.183571264524834 0.711682930585976 12.0893514802274,-1732.85154504284,-8671.909498774041,-8663.909498774041,-8663.869297769019,-8656.44834090272,-8644.27847765812,1.3275624999987499
6,dijkstra,lasdpc,500K,Kw-CWG,1 0.290784845057424 229.266278435646 9.19711595991233 41.0612595664144,-1723.69234804854,-8628.32412178953,-8618.32412178953,-8618.263759616491,-8608.99767445037,-8593.78534539462,23.811601715688333
7,dijkstra,lasdpc,500K,G.Gamma,0.00284152231801189 0.942500353687112 1.99290762613339,-1721.01825257701,-8605.09126288506,-8599.09126288506,-8599.06716649952,-8593.495394481559,-8584.36799704811,0.130185185185164
8,dijkstra,lasdpc,500K,E.Weibull,0.870911185510429 0.00266926925924635 3.46238440889395,-1730.83370546945,-8654.16852734727,-8648.16852734727,-8648.144430961729,-8642.57265894378,-8633.44526151033,0.241333333331298
0,mandelbrot,halley,5000,Gamma,5 0.000619116431796117,-2134.1108761982896,-10670.5543809915,-10666.5543809915,-10666.5423448831,-10662.8238020558,-10656.738870433499,0.0940666666652154
1,mandelbrot,halley,5000,Weibull,2.28849790172543 0.00361021579332848,-2094.83602052019,-10474.180102601,-10470.180102601,-10470.1680664926,-10466.4495236653,-10460.364592043,0.0803333333363601
2,mandelbrot,halley,5000,Normal,0.00309558215898058 0.00134394367448105,-2072.60064306099,-10387.4075953751,-10383.4075953751,-10383.3955592668,-10379.6770164395,-10373.592084817199,0.0235555555603545
3,mandelbrot,halley,5000,T.Normal,0.00309439081240828 0.00140309651814481,-2081.20197110708,-10411.3345141658,-10407.3345141658,-10407.3224780574,-10403.6039352301,-10397.5190036078,0.12188888888987198
4,mandelbrot,halley,5000,Lognormal,-5.85568875274717 0.42115966717639,-2118.05188482205,-10602.989619276801,-10598.989619276801,-10598.9775831685,-10595.2590403411,-10589.1741087188,0.020222222220682998
5,mandelbrot,halley,5000,OLL-GG,0.177789301826711 0.506073438707381 0.372429398189178 16.4945495011472,-2203.02373282504,-11024.9607356378,-11016.9607356378,-11016.9205346327,-11009.499577766399,-10997.329714521798,1.125
6,mandelbrot,halley,5000,Kw-CWG,0.83761981781795 0.731614206144073 1042.90197010796 12.1903080222131 3.04472193898209,-1909.3657079799102,-10750.9422298763,-10740.9422298763,-10740.8818677033,-10731.6157825372,-10716.4034534814,31.77747599135529
7,mandelbrot,halley,5000,G.Gamma,0.0023444738641003 1.65176183473255 1.924399994585,-2117.5355268406,-10587.677634203,-10581.677634203,-10581.6535378175,-10576.0817657995,-10566.9543683661,0.13688888889036802
8,mandelbrot,halley,5000,E.Weibull,1.48137572061742 0.00215023872871029 3.3461556242173,-2141.3056813698604,-10706.5284068493,-10700.5284068493,-10700.5043104638,-10694.932538445799,-10685.8051410124,0.256888888888406
0,dijkstra,halley,1M,Gamma,2 0.00417522117328309,-1553.82992935366,-7769.48486953178,-7765.48486953178,-7765.47283342346,-7761.754290596121,-7755.669358973821,0.11541666666986801
1,dijkstra,halley,1M,Weibull,1.40789930112514 0.00923988037262138,-1548.09457660521,-7743.52532458583,-7739.52532458583,-7739.513288477509,-7735.794745650171,-7729.7098140278695,0.0992666666677299
2,dijkstra,halley,1M,Normal,0.00835044234656618 0.00645724505751663,-1439.54222754806,-7247.204140227091,-7243.204140227091,-7243.192104118771,-7239.473561291429,-7233.38862966913,0.0278888888876989
3,dijkstra,halley,1M,T.Normal,-0.00189588021279521 0.0112467303247601,-1526.8787588971802,-7651.545544540121,-7647.545544540121,-7647.53350843179,-7643.81496560445,-7637.7300339821495,0.11211111111171901
4,dijkstra,halley,1M,Lognormal,-5.07243345812573 0.810768820826178,-1543.44047427031,-7726.53506018168,-7722.53506018168,-7722.523024073359,-7718.80448124602,-7712.719549623721,0.0155555555571078
5,dijkstra,halley,1M,OLL-GG,0.00521376034402845 1.22998215581935 1.79611501342011 0.79338435189135,-1549.74581287448,-7763.43362925354,-7755.43362925354,-7755.39342824851,-7747.97247138221,-7735.80260813761,1.08493749999798
6,dijkstra,halley,1M,Kw-CWG,1 0.243291744379284 269.179712403046 11.374345395785 49.3688006556386,-1554.07611497392,-7776.82967116861,-7766.82967116861,-7766.76930899557,-7757.50322382945,-7742.2908947737,37.067114772461444
7,dijkstra,halley,1M,G.Gamma,0.00469486063281641 1.01307804492854 1.84050491333287,-1553.9230734953,-7769.8249619115,-7763.8249619115,-7763.800865525959,-7758.229093508001,-7749.101696074549,0.13437037036917998
8,dijkstra,halley,1M,E.Weibull,1.01444244372545 0.00571257871012646 1.99346837358331,-1554.1843254426901,-7772.38479165899,-7766.38479165899,-7766.360695273441,-7760.788923255491,-7751.661525822041,0.251592592592243
