algorithm,machine,problem size,time
dijkstra,andromeda,500K,0.326040975
dijkstra,andromeda,500K,0.330403977
dijkstra,andromeda,500K,0.324454162
dijkstra,andromeda,500K,0.329344942
dijkstra,andromeda,500K,0.329492996
dijkstra,andromeda,500K,0.326121433
dijkstra,andromeda,500K,0.325670836
dijkstra,andromeda,500K,0.326187213
dijkstra,andromeda,500K,0.324205072
dijkstra,andromeda,500K,0.323995171
dijkstra,andromeda,500K,0.324558190
dijkstra,andromeda,500K,0.323996855
dijkstra,andromeda,500K,0.328648441
dijkstra,andromeda,500K,0.334896102
dijkstra,andromeda,500K,0.331195468
dijkstra,andromeda,500K,0.324988992
dijkstra,andromeda,500K,0.325682315
dijkstra,andromeda,500K,0.321546712
dijkstra,andromeda,500K,0.329734548
dijkstra,andromeda,500K,0.329757261
dijkstra,andromeda,500K,0.326906284
dijkstra,andromeda,500K,0.327765684
dijkstra,andromeda,500K,0.325194883
dijkstra,andromeda,500K,0.326517764
dijkstra,andromeda,500K,0.327542343
dijkstra,andromeda,500K,0.328994823
dijkstra,andromeda,500K,0.327600517
dijkstra,andromeda,500K,0.327404481
dijkstra,andromeda,500K,0.322617270
dijkstra,andromeda,500K,0.327177265
dijkstra,andromeda,500K,0.328789566
dijkstra,andromeda,500K,0.330599059
dijkstra,andromeda,500K,0.326074549
dijkstra,andromeda,500K,0.323651544
dijkstra,andromeda,500K,0.328467545
dijkstra,andromeda,500K,0.328352845
dijkstra,andromeda,500K,0.328720445
dijkstra,andromeda,500K,0.325745683
dijkstra,andromeda,500K,0.326048577
dijkstra,andromeda,500K,0.323160842
dijkstra,andromeda,500K,0.322024497
dijkstra,andromeda,500K,0.324174383
dijkstra,andromeda,500K,0.324273183
dijkstra,andromeda,500K,0.327754764
dijkstra,andromeda,500K,0.328246359
dijkstra,andromeda,500K,0.322436309
dijkstra,andromeda,500K,0.323269727
dijkstra,andromeda,500K,0.328525115
dijkstra,andromeda,500K,0.328064040
dijkstra,andromeda,500K,0.328212280
dijkstra,andromeda,500K,0.328658976
dijkstra,andromeda,500K,0.327151581
dijkstra,andromeda,500K,0.324444881
dijkstra,andromeda,500K,0.320908085
dijkstra,andromeda,500K,0.328708972
dijkstra,andromeda,500K,0.325368834
dijkstra,andromeda,500K,0.323112274
dijkstra,andromeda,500K,0.323442336
dijkstra,andromeda,500K,0.324865411
dijkstra,andromeda,500K,0.323225772
dijkstra,andromeda,500K,0.328922655
dijkstra,andromeda,500K,0.335720412
dijkstra,andromeda,500K,0.328744793
dijkstra,andromeda,500K,0.329581575
dijkstra,andromeda,500K,0.327772587
dijkstra,andromeda,500K,0.326717161
dijkstra,andromeda,500K,0.326713317
dijkstra,andromeda,500K,0.325219572
dijkstra,andromeda,500K,0.327927102
dijkstra,andromeda,500K,0.327791252
dijkstra,andromeda,500K,0.325037763
dijkstra,andromeda,500K,0.327157281
dijkstra,andromeda,500K,0.326888604
dijkstra,andromeda,500K,0.327326355
dijkstra,andromeda,500K,0.329449388
dijkstra,andromeda,500K,0.325320261
dijkstra,andromeda,500K,0.324299578
dijkstra,andromeda,500K,0.323396096
